Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Aberrate;Tran;Evil;1;1 standard action;Touch;Target;One living creature;10 min./level;Fortitude negates;Subject becomes an aberration.
Aboleth Curse;Necr;;4;1 standard action;Touch;Target;Living creature touched;Permanent;Fortitude negates;Subject's skin undergoes a horrible transformation.
Absorption;Abj;;9;1 standard action;Personal;Target;You;10 min./level or until expended;;You absorb 1d4+6 spell levels directed at you.
Abyssal Army;Conj;Evil, Chaotic;9;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Two or more summoned creatures, no two of which can be more than 30 ft. apart;10 min./level (D);None;Summons demons to fight for you.
Abyssal Might;Conj;Evil;4;1 standard action;Personal;Target;You;10 min./level;;You gain +2 to Str, Con, Dex, and SR.
Accelerated Movement;Tran;;1;1 swift action;Personal;Target;You;1 round/level (D);;Swift. Balance, Climb, Hide, Move Silently, and Tumble at normal speed with no penalty on skill check.
Acid Arrow;Conj;Acid;2;1 standard action;Long (400 ft. + 40 ft./level);Effect;One arrow of acid;1 round + 1 round/3 levels;None;Ranged touch attack
Acid Breath;Conj;Acid;3;1 standard action;15 ft.;Area;Cone-shaped burst;Instantaneous;Reflex half;Cone of acid deals 1d6 damage/level.
Acid Dart;Conj;Acid;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Dart of acid;Instantaneous;None;Energy bolt deals 1d3 acid damage.
Acid Fog;Conj;Acid;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Fog spreads in 20-ft. radius, 20 ft. high;1 round/level;None;Fog deals acid damage.
Acid Glove;Conj;Acid;0;1 standard action;Touch;Target;Creature touched;Instantaneous;None;Touch attack deals 1d6 acid damage.
Acid Sheath;Conj;Acid;5;1 standard action;Personal;Target;You;1 round/level (D);;Sheath of acid damages those who attack you, improves acid spell damage.
Acid Splash;Conj;Acid;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One missile of acid;Instantaneous;None;Orb deals 1d3 acid damage.
Acid Storm;Evoc;Acid;6;1 standard action;Medium (100 ft. + 10 ft./level);Area;Cylinder (20-ft. radius, 20 ft. high);Instantaneous;Reflex half;Deals 1d6/level acid damage in 20-ft radius.
Acidic Curse;Evoc;Acid;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature with eyes;Instantaneous;Fortitude negates;See Text
Addiction;Ench;;2;1 standard action;Touch;Target;One living creature;Instantaneous;Fortitude negates;Subject becomes addicted to a drug.
Aerial Alacrity;Tran;;4;1 swift action;Personal;Target;You;1 min./level (D);;+30 ft. fly speed, +1 AC and Reflex saves while flying, maneuverability improves by one category.
Aerial Alarm;Abj;;2;1 standard action;Medium (100 ft. + 10 ft./level);Area;100-ft.-radius cylinder, 500 ft. high;2 hours/level (D);None;Wards and area for 2 hours/level
Affliction;Necr;Good;4;1 standard action;Touch;Target;Evil creature touched;Instantaneous;Fortitude negates;Infects evil subject with chosen affliction.
Aganazzar's Scorcher;Evoc;Fire;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;5-ft.-wide path to close range (25 ft. + 5 ft./2 levels);Instantaneous;Reflex half;Deal 1d8/2 levels (max 5d8) fire damage to a line.
Aiming Line;Illu;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 min.;Will disbelief (if interacted with);Create an aiming line for +2 bonus to hit with touch attacks, target gains the same benefit vs. you.
Airy Water;Tran;Air, Water;5;1 standard action;0 ft.;Area;20-ft.-radius emanation centered on you;10 min./level (D);None;Turn normal water into a breathable substance
Alarm;Abj;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-radius emanation centered on a point in space;2 hours/level (D);None;Wards an area for 2 hours/level.
Alert Bebilith;Conj;Evil;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One bebilith;Instantaneous;None;Summons bebilith to deal with a demon.
Alter Self;Tran;;2;1 standard action;Personal;Target;You;10 min./level (D);;Assume form of a similar creature.
Alustriel's Banner;Illu;;1;1 standard action;Long (400 ft. + 40 ft./level);Effect;Figment of a banner and sound of a trumpet or horn;1 round/level (D);Will disbelief (if interacted with);Create a minor image of a banner that is illuminated to guide and light.
